672227/1000000  186363/250000  11509/20000  164201/200000
-813029/1000000  -143837/250000  171119/500000  940833/1000000
-124319/125000  80481/1000000  239783/250000  294481/1000000
500259/500000  -58773/1000000  301249/500000  -399383/500000
-68533/500000  -989967/1000000  470819/500000  -170427/500000
-483857/1000000  877351/1000000  -300847/1000000  -47589/50000
215767/250000  50929/100000  -13057/125000  995933/1000000
1000607/1000000  -55553/1000000  997159/1000000  41183/500000
26829/62500  113277/125000  29817/500000  249943/250000
200293/200000  619/125000  -125367/200000  781771/1000000
785527/1000000  -155191/250000  -158839/1000000  39549/40000
317497/500000  387951/500000  -505159/1000000  -13413/15625
125031/125000  27731/1000000  -479381/500000  -8661/31250
-96077/500000  491769/500000  126951/250000  861973/1000000
987839/1000000  -41717/250000  -889137/1000000  -8971/20000
-171453/200000  512711/1000000  189757/250000  163663/250000
-352947/500000  707809/1000000  33903/250000  -9879/10000
95567/250000  926391/1000000  936921/1000000  -1767/5000
-321163/1000000  118417/125000  45777/62500  -136487/200000
-262441/1000000  965613/1000000  981597/1000000  104357/500000
945981/1000000  -5092/15625  195559/200000  -51831/250000
118421/125000  5154/15625  14639/25000  -404609/500000
-245501/250000  175859/1000000  -246181/250000  165937/1000000
387613/500000  636317/1000000  -478341/500000  -69507/250000
124013/200000  -391913/500000  -612147/1000000  790431/1000000
-421353/500000  -13347/25000  70097/200000  -467259/500000
-355837/1000000  467829/500000  381881/1000000  -922521/1000000
-42611/500000  499069/500000  104177/200000  -853793/1000000
-418993/500000  -107943/200000  -99083/100000  3833/31250
-18019/40000  178629/200000  -895451/1000000  437581/1000000
-63149/200000  14852/15625  104449/1000000  995647/1000000
809501/1000000  -58853/100000  -401557/500000  595753/1000000
-419779/1000000  -904381/1000000  -494693/500000  30947/250000
129619/500000  38703/40000  1001309/1000000  -473/250000
-227479/250000  408663/1000000  -891513/1000000  -222471/500000
-171123/200000  -102347/200000  488953/500000  106847/500000
127871/200000  96401/125000  359941/1000000  -23247/25000
977809/1000000  110729/500000  -990961/1000000  119463/1000000
466727/500000  -366243/1000000  243437/250000  24427/100000
462169/500000  -383549/1000000  967427/1000000  51449/200000
860769/1000000  2569/5000  864791/1000000  -502997/1000000
896789/1000000  -13639/31250  -736493/1000000  678369/1000000
660507/1000000  -748523/1000000  120901/250000  -218437/250000
-51377/250000  -4879/5000  -13503/40000  117913/125000
-117369/125000  -167547/500000  -92863/125000  20927/31250
993979/1000000  -124151/1000000  -477287/500000  -144353/500000
-228843/500000  444653/500000  -706991/1000000  707693/1000000
-22423/25000  -108373/250000  -96939/100000  -59377/250000
-578331/1000000  -814599/1000000  16031/20000  967/1600
243501/500000  -218439/250000  -904871/1000000  -209237/500000
286233/1000000  15009/15625  -15289/15625  -191781/1000000
-607959/1000000  -789509/1000000  -41267/250000  987243/1000000
-644773/1000000  -47681/62500  118089/250000  441617/500000
250747/250000  -7577/1000000  -105183/1000000  497907/500000
-91243/100000  -80749/200000  -473709/500000  -309407/1000000
353843/500000  -44367/62500  -37471/500000  499953/500000
-983243/1000000  -3339/20000  -46793/500000  124701/125000
13437/200000  -498431/500000  -99019/100000  15307/125000
328123/1000000  -235431/250000  4382/15625  482071/500000
745277/1000000  -666669/1000000  543377/1000000  842213/1000000
-329881/1000000  -941353/1000000  27921/500000  500297/500000
-452251/1000000  -35521/40000  -246329/250000  -147709/1000000
-67769/200000  941437/1000000  -805977/1000000  -2933/5000
37987/62500  199379/250000  -5633/15625  14617/15625
-997111/1000000  -42511/1000000  -368381/500000  -671777/1000000
118527/200000  -803887/1000000  61023/1000000  1001241/1000000
-211957/250000  132427/250000  170431/200000  33109/62500
348349/500000  -359581/500000  -581881/1000000  812337/1000000
-190197/250000  161741/250000  -979017/1000000  -97391/500000
-164141/200000  -563933/1000000  -99541/250000  183749/200000
468519/500000  -88397/250000  -131533/250000  170279/200000
-169277/500000  94197/100000  24659/25000  -168481/1000000
488807/1000000  -870233/1000000  178859/500000  936689/1000000
203413/500000  -114031/125000  5909/62500  249311/250000
835797/1000000  550013/1000000  -98187/125000  12393/20000
-928871/1000000  -361783/1000000  605631/1000000  -198551/250000
977969/1000000  218403/1000000  -358931/500000  -5531/8000
816471/1000000  -576953/1000000  50051/50000  73153/1000000
-46739/1000000  250523/250000  -3113/3125  -3861/100000
-909349/1000000  8121/20000  -404293/500000  -18193/31250
-45713/62500  680937/1000000  -449031/500000  -433781/1000000
64689/125000  857579/1000000  501263/500000  -1761/200000
-710627/1000000  -700831/1000000  -433483/1000000  -449659/500000
-148173/1000000  -986003/1000000  471457/500000  341343/1000000
-108153/250000  56407/62500  640271/1000000  387551/500000
-878483/1000000  95013/200000  -307521/500000  49297/62500
249779/250000  977/10000  236011/500000  -880789/1000000
-163/320  861117/1000000  -934501/1000000  -35261/100000
961141/1000000  -281787/1000000  1251/2000  195849/250000
31333/31250  23131/1000000  187581/200000  -70927/200000
-5233/10000  852911/1000000  18629/40000  -13808/15625
175489/200000  486591/1000000  6229/31250  -979009/1000000
243057/250000  -238059/1000000  14979/25000  -798401/1000000
181767/250000  138017/200000  -2307/4000  -815939/1000000
-988007/1000000  38087/250000  -241223/250000  25333/100000
101991/250000  -913301/1000000  939393/1000000  348641/1000000
77831/125000  786379/1000000  -82943/250000  944219/1000000
-359417/500000  27831/40000  867513/1000000  -502711/1000000
93701/100000  356831/1000000  -526883/1000000  -423891/500000
796217/1000000  -150961/250000  199887/200000  -68813/1000000
27681/250000  -991061/1000000  -230263/250000  -15289/40000
-987111/1000000  -4019/25000  -165043/500000  -37639/40000
-994611/1000000  40689/500000  558683/1000000  208307/250000
137633/200000  730329/1000000  541881/1000000  422171/500000
-110167/1000000  -495639/500000  -146241/200000  170153/250000
362291/500000  347009/500000  69017/1000000  125109/125000
111627/1000000  -496097/500000  -54967/1000000  -99671/100000
804/3125  60481/62500  84417/250000  943481/1000000
-251477/1000000  194131/200000  -303901/500000  -790633/1000000
84301/1000000  -994477/1000000  992277/1000000  -653/5000
187141/250000  -1657/2500  322099/500000  -763501/1000000
-490833/500000  91813/500000  125243/125000  51403/1000000
10057/50000  122801/125000  197/3125  -498323/500000
-161437/200000  -146159/250000  -999957/1000000  -989/250000
-8451/200000  -996767/1000000  -492497/500000  164727/1000000
969371/1000000  -126503/500000  149557/1000000  198191/200000
-388877/1000000  923203/1000000  -113023/125000  -415431/1000000
-447059/500000  -13851/31250  -124073/125000  47283/500000
-258067/500000  -13348/15625  639241/1000000  -192451/250000
-38513/40000  265651/1000000  971887/1000000  -239713/1000000
17747/40000  35961/40000  99407/200000  218079/250000
528643/1000000  -424143/500000  -26589/100000  -96071/100000
-65143/100000  23723/31250  -78091/200000  115411/125000
99819/100000  -77689/1000000  -822251/1000000  70859/125000
16153/125000  994031/1000000  56829/500000  -991847/1000000
-868203/1000000  248433/500000  -958933/1000000  -137871/500000
227151/500000  447197/500000  19811/50000  919981/1000000
161711/200000  -295239/500000  997711/1000000  22143/200000
-423961/1000000  453931/500000  -84283/1000000  -49719/50000
249093/250000  -109721/1000000  -102961/500000  -244419/250000
73889/1000000  4989/5000  -164759/250000  752279/1000000
-818213/1000000  -457/800  397651/500000  -605143/1000000
200287/200000  -22799/1000000  892287/1000000  -450687/1000000
992663/1000000  4757/40000  -465453/500000  -2237/6250
-915137/1000000  -398593/1000000  13597/1000000  -999669/1000000
-315133/500000  -773321/1000000  125097/125000  -34123/1000000
450057/500000  -43877/100000  -496413/1000000  -432893/500000
668461/1000000  93453/125000  17039/1000000  -498431/500000
-87241/125000  -142067/200000  120169/250000  440529/500000
-195947/200000  23777/125000  14648/15625  -349393/1000000
968307/1000000  -259813/1000000  18727/31250  -801091/1000000
-241747/250000  243507/1000000  706343/1000000  -709341/1000000
987951/1000000  -83499/500000  945283/1000000  33259/100000
986219/1000000  -18127/100000  -988559/1000000  -32589/250000
-64487/500000  993763/1000000  -103393/125000  -554693/1000000
437001/500000  98409/200000  410697/500000  574787/1000000
491619/500000  -91573/500000  161739/500000  -946989/1000000
-287959/1000000  -190803/200000  -42943/62500  363181/500000
246101/250000  178953/1000000  80431/100000  -593939/1000000
35393/1000000  1001419/1000000  -994793/1000000  68691/1000000
-124769/125000  6567/500000  392443/1000000  923601/1000000
-99797/100000  24869/500000  37059/62500  -402751/500000
-199747/200000  -6547/250000  -214507/250000  509451/1000000
1003193/1000000  -3723/500000  117269/125000  351263/1000000
-14823/15625  157463/500000  8277/200000  501069/500000
497621/500000  -110619/1000000  39337/125000  -236807/250000
335167/500000  -743957/1000000  -100073/250000  183531/200000
-56581/500000  -3102/3125  120637/500000  -968643/1000000
2237/4000  -415277/500000  959357/1000000  -57233/200000
-843811/1000000  534219/1000000  987277/1000000  5413/31250
32893/62500  106579/125000  -628499/1000000  -774849/1000000
7643/62500  99613/100000  -998161/1000000  22301/1000000
-451983/1000000  -887773/1000000  855539/1000000  -103533/200000
1000427/1000000  -22111/500000  -52517/250000  61233/62500
792829/1000000  614937/1000000  -226993/500000  -27781/31250
190809/1000000  -490187/500000  -195353/1000000  -195857/200000
34437/125000  192791/200000  614079/1000000  -394353/500000
-224787/250000  217169/500000  498227/500000  2829/31250
184527/250000  -674483/1000000  -188697/1000000  491643/500000
839737/1000000  -545829/1000000  -19789/50000  91911/100000
445733/500000  -229027/500000  640107/1000000  -768027/1000000
-194723/1000000  30699/31250  -258789/1000000  -482061/500000
-489821/500000  18893/100000  -7177/12500  -814873/1000000
1001979/1000000  -47741/1000000  -552849/1000000  -415299/500000
94117/1000000  199507/200000  297251/500000  404289/500000
-852987/1000000  129287/250000  807277/1000000  298129/500000
455899/500000  -413967/1000000  35773/40000  -90001/200000
196191/200000  -204339/1000000  265683/500000  850901/1000000
218383/250000  -485773/1000000  124619/125000  -98001/1000000
-645199/1000000  -47517/62500  49169/1000000  -997287/1000000
230991/500000  44357/50000  -947477/1000000  19607/62500
-843571/1000000  -265113/500000  -275829/500000  -207681/250000
598117/1000000  -798147/1000000  3851/12500  954701/1000000
4737/10000  882399/1000000  -115349/1000000  -989719/1000000
-122133/200000  396691/500000  663659/1000000  753147/1000000
-756833/1000000  -651711/1000000  492963/1000000  43599/50000
427151/500000  -130631/250000  -40137/200000  -488457/500000
121567/500000  24327/25000  5757/20000  959463/1000000
25213/50000  433013/500000  809027/1000000  -588499/1000000
-163069/200000  -574591/1000000  -240233/1000000  973253/1000000
712773/1000000  706787/1000000  15071/62500  -483277/500000
-833833/1000000  -109419/200000  -760363/1000000  649917/1000000
-497161/500000  31839/500000  119269/125000  307173/1000000
28677/50000  821849/1000000  -842723/1000000  -66837/125000
-112137/1000000  -496409/500000  130417/500000  968593/1000000
939989/1000000  -348767/1000000  -197329/200000  158613/1000000
113209/200000  414323/500000  110149/1000000  15538/15625
-972423/1000000  4697/20000  -24019/25000  -265387/1000000
121557/125000  -30469/125000  369429/1000000  58309/62500
292099/500000  815893/1000000  -279511/1000000  59933/62500
-48247/250000  -488817/500000  -924583/1000000  379437/1000000
-1381/1000000  62597/62500  442203/1000000  180381/200000
1002569/1000000  -387/62500  -292517/500000  162473/200000
-38209/125000  95367/100000  -996239/1000000  -34463/1000000
1391/15625  -7947/8000  993957/1000000  -136837/1000000
93909/500000  985159/1000000  156019/250000  -779777/1000000
-16027/25000  153629/200000  533129/1000000  33953/40000
-30869/31250  -133603/1000000  112481/250000  -890659/1000000
326479/1000000  948363/1000000  337301/1000000  -188539/200000
-305911/1000000  952569/1000000  660647/1000000  23603/31250
-462391/1000000  -884111/1000000  767447/1000000  80561/125000
-106131/125000  105031/200000  429187/500000  103087/200000
-186337/200000  -353191/1000000  -29883/62500  176221/200000
134067/500000  -961343/1000000  740401/1000000  -134367/200000
118589/250000  -879567/1000000  13283/1000000  1004527/1000000
687601/1000000  7323/10000  -165889/500000  944023/1000000
456071/500000  414141/1000000  473113/500000  -164789/500000
-152801/250000  -157537/200000  -37597/200000  -489889/500000
-28119/250000  124237/125000  -178317/1000000  -122653/125000
-481429/1000000  175201/200000  697941/1000000  -715331/1000000
137343/250000  838773/1000000  -593259/1000000  161019/200000
-45257/1000000  100177/100000  -995643/1000000  22593/500000
-13457/250000  -62297/62500  63633/1000000  -997811/1000000
-6499/500000  -19943/20000  -496523/500000  -6187/62500
-29367/50000  161797/200000  -107977/125000  250603/500000
990647/1000000  -15797/100000  -870473/1000000  -242411/500000
495533/500000  140709/1000000  71339/250000  -957053/1000000
41017/250000  989013/1000000  -853021/1000000  -513287/1000000
86401/100000  -126761/250000  -475281/500000  75449/250000
-162137/250000  -189591/250000  -758093/1000000  -130197/200000
126787/1000000  497103/500000  -867027/1000000  -490241/1000000
334197/500000  -23281/31250  -902813/1000000  -424173/1000000
-495189/500000  -139439/1000000  -434557/500000  123127/250000
-17859/200000  499261/500000  -444589/1000000  447217/500000
67337/250000  -192189/200000  53297/200000  483517/500000
588289/1000000  -403529/500000  194527/200000  250073/1000000
-923/500000  125191/125000  1000451/1000000  51377/1000000
-534633/1000000  -420017/500000  349819/500000  -713081/1000000
-58551/1000000  124863/125000  -166189/200000  -276633/500000
-87381/1000000  -995147/1000000  -40111/250000  -985117/1000000
62681/62500  18967/500000  192979/200000  -264953/1000000
9257/25000  18653/20000  -76329/100000  -320033/500000
-191787/1000000  -489071/500000  -933097/1000000  44291/125000
-444691/500000  228457/500000  994391/1000000  -23993/200000
7751/100000  24973/25000  812681/1000000  586263/1000000
61869/62500  15131/100000  -128301/1000000  -494511/500000
-224133/1000000  -485763/500000  493931/500000  -154123/1000000
293769/500000  -202451/250000  -313251/1000000  190613/200000
913233/1000000  411519/1000000  -155907/500000  475963/500000
-78579/100000  620383/1000000  28951/200000  31029/31250
-249777/1000000  -240927/250000  488833/500000  27467/125000
79517/100000  304659/500000  35981/100000  935073/1000000
-249179/250000  -51361/1000000  -49859/62500  -298733/500000
56207/125000  -892129/1000000  76689/200000  -184567/200000
-963711/1000000  258749/1000000  -362597/500000  -684823/1000000
-37481/50000  -65761/100000  -233327/1000000  -483873/500000
-13527/20000  -730121/1000000  905931/1000000  -86117/200000
-381823/500000  644433/1000000  -8471/12500  -731751/1000000
-464003/1000000  -88277/100000  -469837/500000  -333291/1000000
-126661/200000  77489/100000  159821/500000  47597/50000
476177/500000  -77559/250000  890339/1000000  46147/100000
945049/1000000  334783/1000000  48877/50000  225491/1000000
56621/250000  975557/1000000  -18171/500000  250079/250000
-215443/500000  450439/500000  -933303/1000000  -350151/1000000
41707/1000000  -998081/1000000  172761/500000  -938249/1000000
500753/500000  -29667/1000000  -19869/31250  193327/250000
-488491/500000  -100561/500000  -838721/1000000  542473/1000000
99021/100000  18947/125000  130581/500000  -192703/200000
-500951/1000000  -108087/125000  -108687/500000  977461/1000000
511/8000  -997677/1000000  -507861/1000000  860837/1000000
606017/1000000  -15903/20000  501093/500000  -3829/100000
14999/15625  -277177/1000000  193829/500000  -230093/250000
-30229/31250  62503/250000  979113/1000000  106377/500000
-115511/250000  -883429/1000000  -915209/1000000  1991/5000
46661/100000  888463/1000000  -185881/200000  -22877/62500
-472799/500000  323953/1000000  207639/1000000  -24419/25000
-247849/250000  -4509/40000  -319353/500000  192531/250000
59043/100000  810701/1000000  1001193/1000000  -8333/250000
958063/1000000  -57967/200000  157403/1000000  988411/1000000
-131927/1000000  992851/1000000  911013/1000000  -208373/500000
280393/500000  -103517/125000  -29197/31250  -69603/200000
-750427/1000000  -656699/1000000  -16191/1000000  1001103/1000000
-996389/1000000  26121/500000  -58567/100000  -403403/500000
191747/250000  -128721/200000  -935597/1000000  87417/250000
244793/1000000  -60553/62500  -11293/12500  -26209/62500
9648/15625  197059/250000  -9269/62500  990801/1000000
250203/250000  60473/1000000  -498663/500000  9369/1000000
301381/1000000  -238227/250000  -887557/1000000  -452769/1000000
7721/15625  -216617/250000  841589/1000000  -543589/1000000
294711/1000000  -238157/250000  -188413/200000  -82267/250000
125137/125000  36583/500000  669541/1000000  -742521/1000000
-28109/1000000  5001/5000  32007/500000  -995279/1000000
393999/500000  -19193/31250  -383309/1000000  -7367/8000
1001341/1000000  10997/500000  -37159/500000  -248969/250000
-989453/1000000  -117387/1000000  122207/125000  227607/1000000
-529647/1000000  -843509/1000000  -72269/125000  -813593/1000000
-8651/50000  -984227/1000000  881161/1000000  240881/500000
5183/15625  472903/500000  496447/500000  -117787/1000000
387669/1000000  -920007/1000000  -407359/1000000  183153/200000
927583/1000000  23701/62500  -95309/125000  -128939/200000
119623/200000  805127/1000000  628829/1000000  -3893/5000
755531/1000000  -654867/1000000  5957/25000  243239/250000
5331/6250  131673/250000  -63697/125000  215573/250000
-398119/500000  -601061/1000000  -209773/1000000  -61053/62500
-482179/500000  130333/500000  -82449/250000  118151/125000
-87587/200000  -895641/1000000  -471529/500000  -332333/1000000
52327/62500  275039/500000  329859/500000  -752721/1000000
38093/62500  -789843/1000000  497247/1000000  -34707/40000
44677/125000  -58261/62500  597/6250  -994147/1000000
368001/500000  680849/1000000  56949/500000  995701/1000000
-458803/1000000  -886229/1000000  -489681/500000  201547/1000000
73117/200000  -116093/125000  650411/1000000  763733/1000000
224947/250000  443671/1000000  105489/200000  85229/100000
425531/500000  529957/1000000  -24861/25000  11213/125000
412087/500000  -283909/500000  99049/500000  982489/1000000
-26523/62500  -180681/200000  435019/500000  -7739/15625
85133/250000  -469673/500000  -133909/250000  422793/500000
-412933/1000000  -909247/1000000  307347/1000000  190699/200000
-497971/500000  2307/62500  193027/200000  -33581/125000
123127/125000  184037/1000000  351451/500000  -711703/1000000
775369/1000000  -631657/1000000  46449/50000  -23623/62500
254823/500000  215853/250000  -6022/15625  -918627/1000000
-192921/500000  184709/200000  27017/31250  255711/500000
-928983/1000000  181013/500000  -240477/1000000  -483891/500000
-178173/200000  113537/250000  -71507/125000  410851/500000
-22141/250000  249799/250000  29553/100000  239859/250000
-174049/200000  -242179/500000  180051/500000  -232737/250000
-187621/500000  -11573/12500  -18567/20000  -181361/500000
-650707/1000000  380143/500000  -46043/50000  97611/250000
-19737/20000  -73469/500000  -989671/1000000  123157/1000000
-270667/1000000  15063/15625  269219/500000  423771/500000
36719/50000  -680599/1000000  42889/1000000  125167/125000
111051/200000  417207/500000  385571/500000  -63657/100000
-996679/1000000  32/625  -51747/250000  -974107/1000000
-160361/500000  -23647/25000  -125211/200000  390247/500000
-97271/100000  231223/1000000  506391/1000000  432293/500000
-980619/1000000  -87099/500000  261247/1000000  965269/1000000
103071/250000  -455621/500000  149487/500000  956741/1000000
214289/1000000  -19501/20000  -25453/1000000  200457/200000
216469/250000  -124953/250000  68121/200000  471699/500000
603/1000000  500043/500000  -178213/200000  -44877/100000
-30939/500000  1000089/1000000  209823/250000  -547849/1000000
1001223/1000000  -2827/100000  888711/1000000  92383/200000
819967/1000000  -114991/200000  358021/1000000  -232767/250000
478909/500000  -146587/500000  -193169/200000  -50443/200000
-953643/1000000  -290527/1000000  39693/200000  490227/500000
255747/1000000  -30131/31250  40527/50000  -293139/500000
-890339/1000000  -89397/200000  -944619/1000000  -160837/500000
-82989/1000000  62389/62500  163519/250000  -474/625
498267/1000000  435029/500000  992933/1000000  145923/1000000
-407191/1000000  457151/500000  -328837/1000000  -23567/25000
60131/100000  802651/1000000  708877/1000000  -353047/500000
-178697/200000  221721/500000  835837/1000000  55303/100000
-247959/250000  -13087/125000  93627/100000  88629/250000
-666257/1000000  5981/8000  841617/1000000  -135537/250000
857027/1000000  -519197/1000000  -927531/1000000  184599/500000
-358943/1000000  186997/200000  -53447/62500  -20507/40000
-2793/5000  207743/250000  -290177/500000  -101453/125000
17689/100000  493963/500000  231679/1000000  974367/1000000
-468033/500000  -346181/1000000  -361019/1000000  467123/500000
-60301/125000  877417/1000000  93453/1000000  -49663/50000
198507/1000000  30701/31250  717331/1000000  -69859/100000
33773/50000  371127/500000  492119/500000  -45557/250000
247719/250000  -152717/1000000  973153/1000000  -120277/500000
340487/1000000  -939337/1000000  81517/100000  -36281/62500
-87063/125000  -142607/200000  -249/10000  250379/250000
497381/500000  124393/1000000  -991571/1000000  54059/500000
-955779/1000000  144709/500000  1029/3125  946479/1000000
-6519/125000  998569/1000000  246953/250000  160277/1000000
-113141/200000  825129/1000000  819271/1000000  577057/1000000
72293/1000000  498993/500000  97791/1000000  997317/1000000
-406607/500000  -577967/1000000  -57049/125000  889717/1000000
80723/100000  -4743/8000  678603/1000000  -735173/1000000
-132887/500000  -240787/250000  153831/1000000  -98551/100000
998259/1000000  101069/1000000  -130673/200000  758873/1000000
926689/1000000  -381757/1000000  -41343/125000  945267/1000000
29091/31250  371923/1000000  20451/62500  237027/250000
252319/500000  -432151/500000  814103/1000000  -72551/125000
-198209/200000  32437/250000  -447303/500000  27819/62500
-1639/40000  -997683/1000000  -140643/500000  -957647/1000000
13483/20000  -368553/500000  987103/1000000  44399/250000
476883/500000  -75463/250000  -123709/125000  135457/1000000
-903233/1000000  -423023/1000000  -59/2500  500931/500000
68371/1000000  200183/200000  236323/250000  -82647/250000
477229/500000  -152883/500000  420541/500000  -540937/1000000
15471/15625  160783/1000000  1000213/1000000  -67659/1000000
-960939/1000000  26619/100000  -957219/1000000  -276163/1000000
492983/500000  -42681/250000  19763/31250  -77403/100000
-390237/1000000  921877/1000000  -685701/1000000  22791/31250
247811/250000  -136051/1000000  41383/100000  -227479/250000
949267/1000000  162023/500000  -446943/500000  -221193/500000
719219/1000000  700579/1000000  217081/250000  -49843/100000
795487/1000000  -303353/500000  -137093/500000  963743/1000000
-380561/500000  -321223/500000  -854161/1000000  518653/1000000
519321/1000000  214561/250000  266099/500000  -16899/20000
80031/500000  247449/250000  -169589/200000  264727/500000
-182213/500000  46657/50000  -51037/100000  -428791/500000
89787/100000  -44381/100000  10661/125000  99671/100000
-972973/1000000  11387/50000  -388973/500000  313307/500000
-805741/1000000  -293293/500000  237891/500000  883589/1000000
-448479/1000000  -444639/500000  -7937/500000  15667/15625
438577/500000  -48263/100000  118063/200000  -100853/125000
240013/250000  144683/500000  -339139/1000000  58821/62500
-249489/250000  -11617/250000  -162561/500000  -471331/500000
-590547/1000000  807629/1000000  -153253/200000  643523/1000000
-145547/250000  203467/250000  -362639/1000000  116841/125000
975949/1000000  229927/1000000  41919/250000  -61499/62500
797539/1000000  605537/1000000  21581/100000  -975181/1000000
986667/1000000  180369/1000000  993433/1000000  2423/20000
484621/500000  -61049/250000  -26937/62500  452019/500000
869991/1000000  99587/200000  445093/1000000  898503/1000000
-186311/1000000  985349/1000000  99969/100000  59843/1000000
975533/1000000  45847/200000  -323983/1000000  -58939/62500
28309/125000  -242953/250000  290729/500000  511/625
-159009/250000  -767983/1000000  -667039/1000000  186861/250000
17327/500000  1004701/1000000  988571/1000000  81367/500000
50707/250000  -488849/500000  -936251/1000000  -171691/500000
200379/200000  34341/1000000  486451/500000  -236099/1000000
-999079/1000000  36951/1000000  148707/200000  -668523/1000000
-38819/500000  -993671/1000000  -891753/1000000  448973/1000000
-410959/500000  565951/1000000  -92661/500000  -245029/250000
7277/1000000  15644/15625  387407/500000  636573/1000000
-249597/250000  -6537/500000  -996647/1000000  27/15625
-61661/62500  15497/100000  -71881/500000  -494789/500000
175541/500000  -467501/500000  4467/5000  450183/1000000
939223/1000000  -6909/20000  -990263/1000000  -114477/1000000
-17719/250000  1000111/1000000  -335431/1000000  -940289/1000000
787117/1000000  15521/25000  -28403/40000  -350761/500000
200069/1000000  -979029/1000000  -83051/100000  276241/500000
-344511/1000000  -934757/1000000  -58651/62500  34251/100000
-44121/50000  117447/250000  311651/1000000  954211/1000000
534469/1000000  -423417/500000  2047/5000  -227903/250000
-867953/1000000  246981/500000  866827/1000000  251043/500000
692961/1000000  -720547/1000000  255237/500000  432069/500000
993179/1000000  -3173/25000  -411139/500000  566097/1000000
445041/500000  -226429/500000  -124611/125000  6861/100000
-31493/50000  775713/1000000  989699/1000000  -156783/1000000
-359299/500000  696451/1000000  -79289/200000  114841/125000
-14669/31250  883991/1000000  -3157/8000  -28653/31250
-186957/500000  929323/1000000  89/15625  -248997/250000
789321/1000000  154203/250000  39143/50000  -621801/1000000
-544107/1000000  -835669/1000000  -5739/125000  -997047/1000000
672859/1000000  -370147/500000  581039/1000000  -813031/1000000
-477807/1000000  -87509/100000  891757/1000000  459001/1000000
54229/250000  -973467/1000000  199981/200000  -851/12500
300187/500000  -798067/1000000  -288341/500000  -32503/40000
58883/200000  239687/250000  91561/200000  -221829/250000
-140871/1000000  -61747/62500  -26157/31250  -270671/500000
777913/1000000  -628521/1000000  451911/1000000  55951/62500
74333/200000  932481/1000000  -163519/1000000  123457/125000
77249/200000  -924019/1000000  -79971/250000  474839/500000
-36059/40000  -426799/1000000  16379/20000  578573/1000000
-409939/500000  -113379/200000  -998023/1000000  -11327/500000
20511/500000  -996267/1000000  -488553/500000  -40053/200000
9363/10000  -350477/1000000  -113349/125000  -207197/500000
16619/1000000  500893/500000  -942761/1000000  -32843/100000
234407/250000  -44493/125000  -534393/1000000  84611/100000
405501/500000  589613/1000000  -641663/1000000  -47729/62500
-508177/1000000  -857541/1000000  89073/200000  448801/500000
10713/50000  -974189/1000000  794077/1000000  -152599/250000
-202387/250000  584249/1000000  -858337/1000000  -101183/200000
441097/500000  -95391/200000  -926727/1000000  185237/500000
49707/50000  127969/1000000  -170413/250000  732681/1000000
-392563/500000  -611693/1000000  564107/1000000  -165067/200000
299739/1000000  191339/200000  85183/200000  -903077/1000000
498121/500000  28499/250000  -318293/500000  -153439/200000
163569/1000000  988619/1000000  324409/500000  -190197/250000
907343/1000000  -41993/100000  197981/200000  160603/1000000
97891/100000  26251/125000  -205751/250000  -282029/500000
-18111/25000  -684373/1000000  -591513/1000000  -12551/15625
