375307/125000  1111/500000  699/500000
925579/1000000  3331351/1000000  248739/250000
999657/1000000  449669/125000  692483/1000000
533237/500000  3836739/1000000  343929/1000000
1111729/1000000  4007637/1000000  3389/200000
56553/50000  127151/31250  -118717/500000
277741/250000  1000459/250000  -9377/25000
1059053/1000000  3803331/1000000  -390913/1000000
971277/1000000  1746043/500000  -11481/40000
431037/500000  3101451/1000000  -20809/200000
748259/1000000  268571/100000  53843/500000
638951/1000000  1147991/500000  289073/1000000
553143/1000000  198177/100000  196189/500000
496793/1000000  1784801/1000000  382207/1000000
479427/1000000  1714117/1000000  239957/1000000
494847/1000000  1779463/1000000  -12493/1000000
67669/125000  97471/50000  -21211/62500
37989/62500  109509/50000  -344113/500000
85299/125000  2453303/1000000  -991237/1000000
14993/20000  1348467/500000  -1191703/1000000
200537/250000  288417/100000  -124539/100000
16639/20000  598259/200000  -1131771/1000000
52413/62500  3015551/1000000  -429579/500000
41351/50000  2974659/1000000  -463819/1000000
160911/200000  2890509/1000000  289/125000
165699/1000000  2997081/1000000  857/500000
78597/500000  2865871/1000000  227143/500000
30633/200000  1389049/500000  422507/500000
38569/250000  1386579/500000  1115579/1000000
19501/125000  574311/200000  155021/125000
168087/1000000  95973/31250  151309/125000
183503/1000000  835481/250000  259431/250000
9961/50000  1822833/500000  95907/125000
215547/1000000  3931807/1000000  89487/200000
226889/1000000  4141929/1000000  142101/1000000
115763/500000  4236337/1000000  -103911/1000000
226671/1000000  4180309/1000000  -249779/1000000
218793/1000000  795247/200000  -7141/25000
199497/1000000  729027/200000  -218721/1000000
35447/200000  644707/200000  -7997/100000
75759/500000  43311/15625  3317/40000
129669/1000000  587789/250000  111441/500000
11127/100000  2016953/1000000  288843/1000000
20009/200000  113243/62500  254031/1000000
48947/500000  1760103/1000000  106827/1000000
104279/1000000  11563/6250  -13871/100000
56033/500000  515893/250000  -13879/31250
128367/1000000  2348517/1000000  -763979/1000000
7313/50000  1326319/500000  -517927/500000
40297/250000  731659/250000  -1205869/1000000
172447/1000000  624533/200000  -619447/500000
17749/100000  643687/200000  -34793/31250
174387/1000000  401877/125000  -52407/62500
171661/1000000  3131683/1000000  -449231/1000000
164837/1000000  2998017/1000000  21/5000
-482829/1000000  1481159/500000  349/500000
-454457/1000000  2784803/1000000  435703/1000000
-433807/1000000  2658219/1000000  814179/1000000
-427303/1000000  2625681/1000000  67919/62500
-110449/250000  676549/250000  610597/500000
-118671/250000  2903121/1000000  605647/500000
-519333/1000000  3191399/1000000  214023/200000
-114677/200000  351899/100000  833549/1000000
-624273/1000000  1916447/500000  548967/1000000
-665277/1000000  509221/125000  266463/1000000
-682193/1000000  4191671/1000000  31011/1000000
-678967/1000000  2075747/500000  -60377/500000
-5169/8000  989037/250000  -44611/250000
-591449/1000000  3620643/1000000  -148159/1000000
-26039/50000  638549/200000  -3399/62500
-223531/500000  273269/100000  11999/200000
-375789/1000000  46093/20000  150387/1000000
-321903/1000000  492741/250000  723/4000
-35879/125000  885007/500000  124169/1000000
-282499/1000000  867261/500000  -1707/62500
-300441/1000000  1851747/1000000  -260683/1000000
-170073/500000  2092601/1000000  -271341/500000
-391243/1000000  1202979/500000  -829307/1000000
-443437/1000000  2736101/1000000  -1066063/1000000
-492623/1000000  377683/125000  -301323/250000
-8202/15625  40223/12500  -304441/250000
-539103/1000000  33/10  -1082241/1000000
-33347/62500  3268747/1000000  -1621/2000
-102641/200000  98149/31250  -54561/125000
-241181/500000  1480961/500000  1313/500000
-1106799/1000000  1394593/500000  207/100000
-1023619/1000000  2577319/1000000  416259/1000000
-60099/62500  484369/200000  776189/1000000
-936797/1000000  1182633/500000  1043957/1000000
-38611/40000  2428487/1000000  1188549/1000000
-519883/500000  261259/100000  299883/250000
-1151217/1000000  28951/10000  108979/100000
-1282441/1000000  1613287/500000  177423/200000
-1410557/1000000  1775109/500000  640109/1000000
-755883/500000  3804473/1000000  384021/1000000
-48869/31250  3933041/1000000  82637/500000
-1556869/1000000  3915729/1000000  1507/125000
-1485781/1000000  3738243/1000000  -68631/1000000
-4253/3125  854963/250000  -74653/1000000
-1196807/1000000  752511/250000  -7443/250000
-204063/200000  2567113/1000000  32597/1000000
-856697/1000000  2157829/1000000  39329/500000
-5831/8000  1841707/1000000  36373/500000
-660281/1000000  1661771/1000000  -7569/1000000
-162781/250000  1641153/1000000  -81109/500000
-706061/1000000  2843/1600  -380071/1000000
-8049/10000  2027977/1000000  -158867/250000
-935009/1000000  94037/40000  -885767/1000000
-213023/200000  268219/100000  -135511/125000
-117891/100000  2965841/1000000  -1193931/1000000
-1252069/1000000  3148459/1000000  -1181317/1000000
-638489/500000  642883/200000  -260131/250000
-19624/15625  3154931/1000000  -386577/500000
-1193313/1000000  30003/10000  -25707/62500
-1108843/1000000  2789179/1000000  2761/1000000
-841127/500000  2484249/1000000  103/62500
-47761/31250  2261461/1000000  387889/1000000
-1415431/1000000  522561/250000  18243/25000
-1364803/1000000  1007797/500000  197297/200000
-1392941/1000000  2060017/1000000  284219/250000
-1504167/1000000  2221987/1000000  585877/500000
-41949/25000  1241381/500000  1094323/1000000
-47269/25000  2794759/1000000  934207/1000000
-262423/125000  3102323/1000000  28901/40000
-2266901/1000000  1674231/500000  500183/1000000
-2360183/1000000  348663/100000  298053/1000000
-471451/200000  870063/250000  71851/500000
-450749/200000  666157/200000  21441/500000
-2066409/1000000  1525477/500000  -251/200000
-11353/6250  2683137/1000000  -393/100000
-1546641/1000000  1142439/500000  2939/500000
-1297913/1000000  479539/250000  37/15625
-1108243/1000000  819049/500000  -9827/250000
-1006691/1000000  372071/250000  -27811/200000
-1002607/1000000  1483489/1000000  -295299/1000000
-219117/200000  811497/500000  -248209/500000
-252501/200000  1868919/1000000  -720803/1000000
-294733/200000  2175707/1000000  -232617/250000
-841881/500000  2489759/1000000  -544837/500000
-5813/3125  2747897/1000000  -29163/25000
-246179/125000  181911/62500  -226863/200000
-499967/250000  1478099/500000  -983061/1000000
-1948271/1000000  2880693/1000000  -181679/250000
-1833203/1000000  2708821/1000000  -191401/500000
-42023/25000  2484529/1000000  2209/1000000
-435473/200000  6454/3125  2307/1000000
-1950127/1000000  1851771/1000000  177417/500000
-354759/200000  5263/3125  168827/250000
-1688317/1000000  802007/500000  920851/1000000
-107247/62500  203713/125000  1077217/1000000
-927629/500000  1762789/1000000  565131/500000
-2086191/1000000  1979669/1000000  1086501/1000000
-2372181/1000000  1124617/500000  968309/1000000
-2655761/1000000  629721/250000  800267/1000000
-2890199/1000000  109611/40000  611217/1000000
-3024701/1000000  2866083/1000000  426929/1000000
-758787/250000  2878641/1000000  135581/500000
-2910719/1000000  2760307/1000000  154199/1000000
-2670007/1000000  1266783/500000  36643/500000
-2351309/1000000  89191/40000  11093/500000
-1001501/500000  950111/500000  -9859/500000
-1682007/1000000  319281/200000  -14043/200000
-28801/20000  1368777/1000000  -74627/500000
-659913/500000  1252037/1000000  -267663/1000000
-1327491/1000000  1259491/1000000  -105753/250000
