853407/1000000  -21131/50000  -83549/1000000  -617613/1000000
-15423/500000  -881631/1000000  226459/1000000  -983027/1000000
83101/500000  -507449/1000000  103543/200000  345183/500000
495291/500000  53297/250000  -78937/100000  586831/1000000
-10539/250000  -962209/1000000  81499/1000000  511611/1000000
-180551/500000  59249/200000  201007/500000  5217/200000
287699/1000000  38749/125000  -779433/1000000  -246747/250000
-37989/200000  144573/250000  -363937/1000000  -402179/500000
-640443/1000000  926/3125  149317/250000  -676233/1000000
-208541/500000  -24481/200000  -844751/1000000  61153/500000
191173/250000  195593/250000  57523/1000000  35761/500000
-642287/1000000  171209/500000  801469/1000000  391531/500000
-260027/500000  25569/31250  6513/125000  303289/500000
51127/200000  74949/100000  293899/500000  142341/1000000
-5797/500000  -92269/125000  -95249/100000  736427/1000000
106081/250000  56923/62500  -120163/1000000  116319/200000
244839/250000  783/125000  854371/1000000  4881/250000
5413/1000000  387/4000  -999/500000  10869/100000
720703/1000000  144409/200000  306623/1000000  205443/500000
43729/500000  -13847/200000  -161963/500000  -663201/1000000
162377/250000  -197061/250000  34143/500000  -732247/1000000
25721/200000  -450841/1000000  -17197/50000  60579/500000
988671/1000000  7631/100000  16817/25000  866651/1000000
-48411/125000  -559817/1000000  -13123/20000  790241/1000000
277091/1000000  166071/500000  171721/250000  -397451/500000
-443541/1000000  -210639/500000  -473643/1000000  162399/1000000
859103/1000000  -38417/1000000  -115321/200000  858919/1000000
376337/1000000  338043/1000000  -92017/1000000  213271/500000
-124131/500000  238399/1000000  -68463/100000  -117573/200000
44083/62500  247193/1000000  19129/100000  -257307/1000000
-12957/125000  -170223/250000  24489/40000  -936841/1000000
-29557/250000  -61003/100000  443073/1000000  293939/1000000
944579/1000000  23647/100000  51181/1000000  130751/250000
283399/1000000  42827/125000  -800301/1000000  -179579/250000
145331/250000  -859617/1000000  -87681/100000  262549/500000
385817/1000000  159801/250000  -87547/1000000  -71861/1000000
-17649/250000  13611/200000  -227597/500000  -24559/100000
-931911/1000000  -88731/500000  -40801/1000000  -6923/250000
32229/125000  -164951/250000  -612029/1000000  57091/200000
-568569/1000000  -7837/8000  -702867/1000000  239761/500000
222231/250000  416831/500000  -466577/500000  133109/200000
-10323/100000  -410537/500000  86109/500000  68817/100000
487119/1000000  29181/250000  -186599/200000  337877/1000000
-970807/1000000  -183839/200000  -87511/125000  405231/500000
-231971/500000  -335361/1000000  58543/1000000  42629/62500
684451/1000000  -51413/250000  -65889/200000  498333/500000
59493/62500  -19271/62500  -20283/500000  60673/62500
377213/500000  57367/250000  4268/15625  -19359/125000
-4721/125000  -284999/500000  481839/1000000  -91571/125000
118477/125000  503113/1000000  -487293/500000  1397/10000
-235119/500000  371299/1000000  -343043/500000  -102091/200000
213329/500000  -837283/1000000  115379/200000  -757/500000
-491831/500000  428677/500000  -60411/200000  -230853/1000000
95611/200000  -155211/200000  -73673/250000  -289281/1000000
-904227/1000000  -288833/500000  937149/1000000  -140657/500000
-820221/1000000  126231/500000  1933/40000  13877/50000
-794411/1000000  -455469/1000000  -4543/40000  -99453/200000
-525971/1000000  -786783/1000000  415503/500000  11681/25000
-218723/250000  54417/1000000  -34581/250000  227309/500000
-588743/1000000  788599/1000000  -433159/1000000  277489/1000000
-2693/62500  155313/1000000  -269507/500000  19201/62500
174053/500000  35373/50000  -756/15625  177041/200000
815811/1000000  190587/1000000  -2667/5000  143581/200000
-360481/1000000  77743/500000  -190953/200000  -86579/500000
-159941/500000  59419/250000  -118583/1000000  14387/100000
5889/20000  -121333/200000  171371/1000000  -28241/1000000
171791/250000  -155241/1000000  127791/1000000  -199723/1000000
-879663/1000000  -410307/500000  970783/1000000  -31429/500000
-486557/1000000  -1089/25000  -487243/500000  123797/1000000
-175451/250000  -386301/500000  42359/50000  541813/1000000
-387609/500000  -836401/1000000  455223/500000  411539/1000000
-227259/500000  -171881/250000  -477703/500000  -35897/100000
128337/200000  36123/125000  394003/1000000  -330231/500000
-52397/100000  -246891/500000  -753681/1000000  -339057/1000000
181447/250000  -647473/1000000  -33207/500000  829571/1000000
931873/1000000  -23477/100000  -875553/1000000  -901399/1000000
-17763/250000  -56311/500000  606109/1000000  8602/15625
-15001/250000  48319/1000000  -665393/1000000  -539157/1000000
619173/1000000  -15813/200000  -53863/500000  -37373/100000
-141907/200000  203271/1000000  -58749/100000  73823/100000
-999289/1000000  458979/500000  4723/20000  88757/200000
538817/1000000  224527/500000  -35813/50000  -403703/1000000
-162307/500000  -107393/500000  -383719/1000000  -444647/500000
287049/1000000  227639/1000000  -105137/125000  -562483/1000000
-772439/1000000  24737/125000  -320657/1000000  487911/500000
-226369/1000000  940093/1000000  399027/1000000  -197787/500000
27113/500000  -345661/1000000  19471/200000  -207599/500000
-3113/12500  -142511/250000  849/1250  29107/500000
904563/1000000  982913/1000000  -6069/250000  35809/1000000
63379/125000  -403293/1000000  -265747/500000  156021/1000000
91051/250000  -69/160  985589/1000000  165027/1000000
-446433/1000000  195719/500000  -624537/1000000  -226539/250000
9567/62500  638593/1000000  423417/500000  -94673/250000
-711223/1000000  99733/250000  -25359/1000000  11419/40000
17821/62500  -146537/500000  -222517/1000000  -189091/250000
541947/1000000  60857/62500  187091/500000  30287/31250
-49277/62500  -4567/62500  -512147/1000000  -603193/1000000
963521/1000000  183131/500000  -76859/125000  685737/1000000
-327083/500000  -464727/1000000  -169009/1000000  29993/100000
-1937/6250  57039/1000000  224841/250000  -559763/1000000
351957/500000  117481/250000  -47169/100000  607447/1000000
30871/125000  165293/250000  368809/1000000  221541/250000
848837/1000000  -155829/200000  -235927/1000000  -861323/1000000
-64373/500000  441217/500000  841669/1000000  532893/1000000
258653/500000  70797/200000  -165513/1000000  -356469/500000
151663/1000000  -2963/250000  926987/1000000  175157/250000
237797/500000  -18863/25000  223289/250000  10333/25000
-959253/1000000  41447/200000  173191/250000  -200431/250000
207427/1000000  344219/1000000  -29289/50000  -340701/500000
-14459/62500  -26903/40000  -455853/1000000  94209/125000
191649/200000  62333/100000  -644071/1000000  -75387/200000
840991/1000000  -501403/1000000  -40477/250000  295351/1000000
36969/200000  4927/25000  -164971/250000  566687/1000000
27953/40000  722279/1000000  265323/1000000  -322471/500000
149149/250000  -319577/500000  -150533/1000000  239053/250000
-755529/1000000  511939/1000000  -199621/500000  -42911/100000
-716649/1000000  419651/500000  -885371/1000000  -200711/500000
281081/1000000  25563/500000  -734801/1000000  2469/3125
177211/200000  427991/500000  -698817/1000000  16959/200000
603231/1000000  -716917/1000000  1483/25000  -238367/1000000
-393629/1000000  445757/500000  649233/1000000  -30699/50000
90013/250000  636041/1000000  -5491/100000  -395291/1000000
-338943/1000000  -4901/5000  -354683/1000000  123601/125000
-231033/250000  314883/500000  65773/125000  -25989/125000
61033/1000000  405041/1000000  8323/25000  189027/250000
-17663/31250  46609/500000  190559/500000  55413/1000000
181693/200000  -207517/250000  69101/100000  -317127/1000000
68317/500000  -435383/1000000  -391819/1000000  -52249/125000
-435553/1000000  -45391/62500  284417/1000000  476783/500000
94689/100000  -335441/1000000  86401/125000  44093/200000
90431/1000000  -19153/50000  -352221/500000  -2047/125000
-230679/250000  134163/500000  184449/500000  -42471/500000
22929/50000  -41759/250000  5653/500000  -10969/500000
-661733/1000000  -320033/500000  -607513/1000000  12138/15625
-521599/1000000  -463997/1000000  481619/500000  631919/1000000
309533/1000000  -78699/100000  -183759/200000  555927/1000000
152701/500000  -431251/500000  -3643/1000000  -62309/250000
72953/500000  -24851/25000  -332521/1000000  169189/250000
228561/500000  288949/500000  31911/200000  168281/500000
-437363/1000000  123599/125000  -899947/1000000  -195671/250000
72753/1000000  -373419/1000000  152857/500000  -61779/500000
-407471/500000  24713/200000  157777/200000  41567/500000
-11959/12500  -209413/500000  21981/31250  -92801/100000
-380487/500000  10321/12500  -842997/1000000  687563/1000000
260543/500000  -105157/125000  17733/250000  -858273/1000000
-32977/40000  274189/1000000  -317823/500000  144501/1000000
69253/125000  53221/100000  -829933/1000000  685527/1000000
170771/200000  -6679/200000  249197/500000  -661211/1000000
457711/1000000  123191/125000  -279167/1000000  385053/500000
-624651/1000000  -194791/250000  779609/1000000  -3903/6250
520471/1000000  -367743/500000  1043/12500  50719/200000
63199/200000  86603/250000  -459939/1000000  -47691/62500
-914601/1000000  63031/200000  -30409/62500  -44393/500000
