-306589/1000000  78907/200000
-11433/50000  -111003/250000
-4801/25000  -230417/500000
-40763/125000  -378499/1000000
32779/500000  248139/500000
95371/250000  -649/2000
100550383/207912500  -52627239/415825000
131859/500000  26643/62500
2647/50000  -498013/1000000
-12051/50000  -54647/125000
-31113/1000000  -498757/1000000
-249151/500000  7387/250000
88949/1000000  493389/1000000
18697/40000  182679/1000000
-218371/500000  -238943/1000000
-3023/40000  -247009/500000
108237503/250100000  1255301/5002000
-62271/125000  -2693/100000
495377/1000000  -77777/1000000
-177427/500000  87859/250000
1093/125000  50043/100000
105429/500000  5679/12500
-291689/1000000  406113/1000000
-109331/500000  -448583/1000000
80127/500000  236699/500000
17557/40000  48081/200000
-108222497/250100000  -1250299/5002000
113961/1000000  3041/6250
-364913/1000000  68131/200000
117869/500000  -6914/15625
58727/1000000  -247867/500000
-229267/500000  39287/200000
-470993/1000000  10091/62500
70637/200000  -355927/1000000
-46481/250000  -464407/1000000
339121/1000000  369093/1000000
-870476381/1787300000  -4021327/35746000
-18889/250000  493517/1000000
75989/200000  327109/1000000
321269/1000000  191883/500000
455359/1000000  -26189/125000
-277597/1000000  414687/1000000
-244663/500000  12311/125000
-238349/1000000  54827/125000
-101071/250000  -58433/200000
499213/1000000  -47469/1000000
182096247/874900000  -7946451/17498000
-445257/1000000  112403/500000
499017/1000000  -49761/1000000
466657/1000000  -1473/8000
10727/25000  260097/1000000
-249097/500000  -7567/500000
499979/1000000  -38983/1000000
114829/500000  111187/250000
-41061/250000  -471401/1000000
129813/1000000  12101/25000
1601123847/3203650000  208615081/6407300000
445701/1000000  228613/1000000
33097/250000  241011/500000
466461/1000000  -184959/1000000
-6787/125000  248369/500000
491249/1000000  -100849/1000000
120839/500000  439141/1000000
-226659/1000000  446017/1000000
122241/250000  4467/40000
5817/25000  443607/1000000
-1596126153/3203650000  -196184919/6407300000
193263/500000  318601/1000000
-492931/1000000  68999/1000000
27741/62500  -234537/1000000
-132427/500000  52923/125000
-5991/15625  -159929/500000
-30317/250000  -120941/250000
-61397/125000  -87421/1000000
-123829/500000  -434563/1000000
29331/500000  -248189/500000
715008919/4146050000  -3885956663/8292100000
419479/1000000  275547/1000000
94241/200000  -1729/10000
99511/200000  -16739/250000
283971/1000000  206111/500000
478117/1000000  153367/1000000
419653/1000000  -275141/1000000
263407/1000000  106347/250000
-4834/15625  -196157/500000
185471/500000  -4223/12500
179278051/965450000  898872973/1930900000
-269179/1000000  210533/500000
84301/200000  -270833/1000000
-134803/500000  420331/1000000
-56071/125000  -218057/1000000
-422219/1000000  -263963/1000000
38821/1000000  249527/500000
-274903/1000000  -41689/100000
-21071/500000  -99441/200000
-164357/500000  -374797/1000000
1788414967/8436100000  -190846917/421805000
78321/1000000  -494011/1000000
-284977/1000000  -102629/250000
-16567/500000  499009/1000000
235547/500000  42603/250000
-20501/1000000  -499111/1000000
-393123/1000000  307639/1000000
70801/250000  -206357/500000
225693/500000  -27393/125000
-35057/100000  178137/500000
-1780485033/8436100000  191353083/421805000
-164221/500000  -3007/8000
455001/1000000  -209219/1000000
57603/200000  -409523/1000000
-61859/125000  -65679/1000000
10557/40000  -424277/1000000
-223019/1000000  446267/1000000
-375837/1000000  41117/125000
-138367/1000000  -239951/500000
-23801/50000  29199/200000
-96094589/1841300000  -45721261/92065000
-118769/1000000  60669/125000
-29671/500000  247691/500000
-68613/250000  104113/250000
-101207/250000  291241/1000000
-179117/500000  43407/125000
242263/500000  -25959/200000
-259413/1000000  426397/1000000
246489/1000000  436307/1000000
-220899/500000  3617/15625
5770387/22100000  -470837/1105000
-63897/200000  191967/500000
51241/200000  -429519/1000000
481569/1000000  71207/500000
-106769/1000000  244033/500000
28293/100000  103061/250000
-248359/500000  42303/1000000
-26739/62500  256031/1000000
-244677/500000  -19181/200000
-188547/500000  32587/100000
-436158777/2437450000  2279241163/4874900000
246391/500000  -91601/1000000
-122647/250000  89417/1000000
-61261/125000  -23813/250000
26259/62500  272211/1000000
466053/1000000  184987/1000000
92369/500000  464931/1000000
-237423/500000  151771/1000000
-1089/50000  499887/1000000
345689/1000000  -363007/1000000
438791223/2437450000  -2270758837/4874900000
11089/500000  249833/500000
25197/125000  -457803/1000000
58579/500000  -486379/1000000
-66121/1000000  -495573/1000000
-4783/12500  6409/20000
-175079/500000  177839/500000
5991/40000  476787/1000000
-396273/1000000  304299/1000000
-430601/1000000  -50249/200000
120052959/625850000  579328979/1251700000
-59/100000  -500951/1000000
495197/1000000  3853/50000
-124159/250000  4791/100000
-244597/500000  97829/1000000
469591/1000000  88491/500000
-213847/500000  63929/250000
-22331/50000  111937/500000
5063/25000  -228547/500000
494193/1000000  -4127/50000
-906609657/2065450000  988593883/4130900000
11297/62500  466113/1000000
-408301/1000000  -57137/200000
169161/500000  -73943/200000
-318669/1000000  47969/125000
387199/1000000  -991/3125
-24381/125000  -458337/1000000
-404091/1000000  -292599/1000000
-64971/200000  377809/1000000
-241459/500000  -125651/1000000
-6568937/24050000  10066443/24050000
-472799/1000000  -157649/1000000
18243/40000  4179/20000
239379/1000000  -438453/1000000
28313/200000  -479189/1000000
502023/1000000  -5593/200000
498713/1000000  52617/1000000
3329/31250  488903/1000000
13511/1000000  499761/1000000
86223/500000  -470241/1000000
6591063/24050000  -10063557/24050000
-443157/1000000  -57439/250000
-448127/1000000  109009/500000
9267/500000  249779/500000
369069/1000000  -339819/1000000
96809/250000  63613/200000
-115007/500000  443979/1000000
-187503/1000000  92683/200000
-89623/250000  173221/500000
14859/250000  9929/20000
151142819/962650000  457182759/962650000
-50139/125000  148403/500000
46511/200000  -442701/1000000
356357/1000000  351129/1000000
332333/1000000  375003/1000000
239843/1000000  109841/250000
53207/250000  -2263/5000
246911/500000  22909/250000
500413/1000000  -343/20000
4811/10000  27991/200000
112803891/225850000  -7111449/225850000
445721/1000000  230231/1000000
451259/1000000  -218843/1000000
221153/500000  58633/250000
497973/1000000  51573/1000000
-76979/200000  -317623/1000000
-27711/62500  -114103/500000
-4711/20000  220173/500000
123387/250000  -1783/20000
-75103/1000000  -9883/20000
-301933257/616025000  233257409/2464100000
7219/200000  -498377/1000000
-248897/500000  -8789/1000000
191903/1000000  -461811/1000000
-17819/50000  87731/250000
-120079/250000  34183/250000
-479927/1000000  133833/1000000
-224599/500000  -43047/200000
43333/1000000  -249427/500000
248799/500000  28389/500000
303066743/616025000  -230842591/2464100000
58421/125000  -90887/500000
12539/25000  801/200000
87579/1000000  -491619/1000000
140467/500000  207477/500000
-481043/1000000  8217/62500
93521/250000  33379/100000
429341/1000000  -128753/500000
-17971/250000  -247257/500000
-162709/500000  1178/3125
-205761809/465425000  -430657767/1861700000
-19147/500000  49831/100000
53453/125000  -52263/200000
-90769/200000  20907/100000
20817/1000000  20007/40000
273761/1000000  419473/1000000
97829/1000000  -490441/1000000
-284273/1000000  -410603/1000000
-200387/1000000  -457999/1000000
-230733/1000000  110843/250000
196957211/396425000  101936993/1585700000
-27491/62500  11779/50000
22519/100000  223847/500000
-327367/1000000  37599/100000
90609/1000000  492459/1000000
-248993/500000  -2627/125000
450653/1000000  219543/1000000
-99407/200000  703/1000000
216927/500000  -10117/40000
1044/3125  93389/250000
11463271/79300000  -758567/1586000
220481/1000000  225043/500000
19229/500000  -9977/20000
-400641/1000000  148211/500000
-384203/1000000  -39737/125000
-203497/500000  143971/500000
115983/1000000  -243513/500000
20711/100000  45557/100000
7487/250000  124857/250000
-3781/31250  -485501/1000000
-11388729/79300000  760153/1586000
-19511/40000  25243/250000
125437/250000  -1373/100000
-496921/1000000  -45217/1000000
-461789/1000000  -37263/200000
-348851/1000000  -71457/200000
61377/125000  103303/1000000
442499/1000000  -117843/500000
-408949/1000000  57183/200000
-44103/200000  -447961/1000000
3401372831/8027300000  42815273/160546000
3979/10000  304933/1000000
28547/500000  -497309/1000000
234089/500000  -178823/1000000
-39827/100000  -60001/200000
-55149/250000  223933/500000
-12691/62500  -227481/500000
-36303/1000000  498129/1000000
249713/500000  7671/200000
27877/250000  244191/500000
5537099/291700000  2917917/5834000
-1743/40000  248827/500000
-156299/1000000  -473983/1000000
-353803/1000000  17583/50000
-443343/1000000  -113499/500000
414373/1000000  35429/125000
197463/500000  307939/1000000
381123/1000000  -323891/1000000
114649/500000  -444627/1000000
59981/125000  -14781/100000
-147620997/300100000  -26596919/300100000
-641/20000  499619/1000000
31581/125000  432459/1000000
114811/250000  -200483/1000000
-92099/500000  465433/1000000
122269/500000  437343/1000000
-434101/1000000  -245203/1000000
179647/500000  174601/500000
-48063/100000  64583/500000
-124839/250000  4569/1000000
147639003/300100000  27083081/300100000
-52561/250000  452563/1000000
-237293/500000  153949/1000000
124521/250000  65097/1000000
49177/100000  -100837/1000000
250819/500000  -10899/1000000
-137163/500000  16661/40000
-103309/250000  140027/500000
-28733/500000  -248191/500000
-372609/1000000  331369/1000000
2238865359/8845300000  -3807085307/8845300000
20369/125000  -472447/1000000
-489011/1000000  95037/1000000
-383099/1000000  -319847/1000000
428483/1000000  -258517/1000000
23939/62500  -323537/1000000
51961/125000  140533/500000
-124541/250000  -4789/200000
62129/200000  196601/500000
104949/250000  -13667/50000
1858642243/6408100000  -2604809439/6408100000
-39771/250000  -236883/500000
2813/12500  223919/500000
33203/1000000  100027/200000
-109969/250000  47267/200000
6253/20000  -391803/1000000
-4423/12500  352179/1000000
28727/100000  2051/5000
43487/100000  31363/125000
92567/250000  -337661/1000000
1474355783/3059050000  837710937/6118100000
-6593/125000  497581/1000000
-112883/250000  210539/1000000
-16979/62500  -418331/1000000
-26771/62500  -254971/1000000
-100959/250000  -2933/10000
306557/1000000  -79367/200000
243311/500000  -119919/1000000
-251/50000  -500611/1000000
50313/125000  297309/1000000
-1469094217/3059050000  -828289063/6118100000
108271/250000  -253031/1000000
192469/500000  -321789/1000000
89567/200000  224517/1000000
-189471/1000000  462317/1000000
-2989/8000  -331277/1000000
-12571/31250  293357/1000000
149229/500000  -80243/200000
118973/500000  88019/200000
-19731/500000  -15549/31250
298185851/942850000  733051989/1885700000
-1697/500000  500179/1000000
249807/500000  -48867/1000000
-8113/200000  124803/250000
-113919/1000000  -48597/100000
-47069/125000  65491/200000
73433/250000  404769/1000000
23487/500000  -497367/1000000
444899/1000000  -230699/1000000
132759/1000000  482439/1000000
-550886533/2428450000  2165739813/4856900000
16221/125000  -96863/200000
-247393/500000  -30631/500000
-146287/500000  -404621/1000000
-232451/500000  88033/500000
-17577/125000  119819/250000
426881/1000000  132027/500000
1/2  -1589/50000
-340027/1000000  -182559/500000
-25391/250000  -122123/250000
-3725139/364850000  -45545171/91212500
-401/1250  191689/500000
99307/200000  16369/250000
-8831/20000  -232633/1000000
-119447/250000  70713/500000
165307/500000  -376531/1000000
-57279/125000  197439/1000000
-27613/100000  -416171/1000000
247563/500000  75839/1000000
-481449/1000000  -127941/1000000
3914861/364850000  45647329/91212500
-498029/1000000  -3757/125000
286149/1000000  205359/500000
38237/125000  6188/15625
118447/250000  -20541/125000
-32577/200000  118193/250000
-495083/1000000  -66431/1000000
38721/100000  -158999/500000
322697/1000000  -384237/1000000
-436009/1000000  60503/250000
77391197/1408450000  175197183/352112500
489501/1000000  109263/1000000
234113/500000  177777/1000000
-20879/100000  -453941/1000000
161679/500000  191459/500000
-6288/15625  18417/62500
-30483/62500  -26187/250000
-321677/1000000  -381379/1000000
36061/100000  347363/1000000
-462721/1000000  186939/1000000
2270434909/4749650000  175758701/1187412500
237491/1000000  441331/1000000
-66093/250000  26463/62500
39897/125000  -96341/250000
-60663/125000  110351/1000000
115729/250000  -39167/200000
-75299/500000  -476991/1000000
26363/62500  26971/100000
-441591/1000000  28793/125000
-24573/50000  -82041/1000000
-136322117/519220000  -55144617/129805000
-220761/500000  -58009/250000
-382833/1000000  -160183/500000
491379/1000000  -25681/250000
59867/125000  146793/1000000
2063/5000  -285109/1000000
-43637/125000  178183/500000
-57081/1000000  496357/1000000
-77773/250000  390567/1000000
279619/1000000  103773/250000
136477883/519220000  55300383/129805000
-60097/200000  398241/1000000
108783/250000  -123839/500000
237829/500000  159211/1000000
369459/1000000  84489/250000
-61339/125000  8337/100000
-496831/1000000  -644/15625
90419/250000  43351/125000
-489139/1000000  -45617/500000
25803/200000  120943/250000
-34933961/80260000  4944039/20065000
-34953/100000  356757/1000000
-61029/125000  -48193/500000
-494917/1000000  29177/500000
-42429/125000  -365307/1000000
117851/1000000  -486901/1000000
-113907/250000  -202621/1000000
-194373/500000  -313929/1000000
-484931/1000000  28469/250000
107797/500000  -450437/1000000
564110511/1536740000  -130256989/384185000
-67367/500000  481803/1000000
14143/100000  120053/250000
129049/500000  427387/1000000
52639/500000  -9773/20000
86527/200000  62739/250000
4411/200000  -249803/500000
-361121/1000000  -68637/200000
-450451/1000000  -26837/125000
17423/50000  360199/1000000
-297750709/597481250  166073731/4779850000
72829/200000  344317/1000000
-180383/500000  -343663/1000000
-47967/100000  3407/25000
-83793/200000  -270683/1000000
261593/1000000  -106821/250000
113209/250000  107177/500000
977/40000  -10001/20000
365923/1000000  342949/1000000
15281/100000  119141/250000
298324291/597481250  -161676269/4779850000
17577/50000  357373/1000000
-14761/40000  -83629/250000
374353/1000000  33299/100000
-492719/1000000  76773/1000000
33151/125000  -85147/200000
-279709/1000000  413421/1000000
-425169/1000000  -51949/200000
-478679/1000000  -14031/100000
249647/500000  4501/100000
162344787/327681250  186930867/2621450000
188259/500000  33061/100000
153279/1000000  476491/1000000
-31133/62500  6757/250000
-104171/500000  113517/250000
-64953/250000  -426317/1000000
335171/1000000  -372747/1000000
-339153/1000000  -14629/40000
249077/1000000  434349/1000000
-192589/500000  317797/1000000
43267191/93106250  -137992369/744850000
251527/1000000  433079/1000000
69651/1000000  248107/500000
8041/200000  249409/500000
23161/125000  -465197/1000000
327293/1000000  37959/100000
301433/1000000  400023/1000000
-427143/1000000  -64473/250000
-196509/500000  19133/62500
9209/125000  123653/250000
-597129153/1207300000  -42492197/603650000
-3907/8000  -4083/40000
114263/250000  -207367/1000000
180419/500000  -43601/125000
1/10  61269/125000
165127/1000000  -94597/200000
77209/1000000  494573/1000000
43347/125000  -362261/1000000
-31419/125000  -6747/15625
97089/200000  -123217/1000000
598070847/1207300000  42757803/603650000
-61571/125000  -1873/25000
3853/40000  -490179/1000000
212387/500000  -266551/1000000
232477/1000000  -443143/1000000
27769/100000  417921/1000000
-103133/250000  -70247/250000
134129/500000  -422161/1000000
45313/500000  492131/1000000
28347/100000  -6438/15625
366272463/1621700000  362043387/810850000
42443/500000  -24653/50000
463587/1000000  191313/1000000
144561/500000  409493/1000000
-81339/200000  18127/62500
-218963/500000  240209/1000000
-19787/500000  -12429/25000
105723/250000  -268891/1000000
-70939/250000  -409837/1000000
38859/200000  461929/1000000
-90491441/868100000  -212124509/434050000
374417/1000000  333641/1000000
-218663/1000000  -449839/1000000
3709/40000  -7671/15625
207629/500000  -281391/1000000
423259/1000000  -267213/1000000
-87933/250000  353489/1000000
30221/62500  -427/3125
6151/40000  -476861/1000000
-29721/250000  48571/100000
275529399/830762500  -1243439709/3323050000
6149/12500  -49217/500000
667/125000  -125031/250000
-120347/250000  -64367/500000
1709/31250  -248567/500000
-337511/1000000  -366663/1000000
438039/1000000  -121847/500000
246617/500000  1809/20000
-93023/250000  -333189/1000000
39137/125000  391007/1000000
-274333101/830762500  1247560291/3323050000
497951/1000000  -3691/62500
8121/50000  -236939/500000
-59663/125000  143539/1000000
110021/250000  -238987/1000000
374841/1000000  -332307/1000000
-307957/1000000  -392987/1000000
-447219/1000000  -219003/1000000
288813/1000000  20473/50000
-259469/1000000  -213087/500000
124447533/1072962500  2090785947/4291850000
418121/1000000  -276577/1000000
-20103/1000000  -124813/250000
70519/1000000  494711/1000000
-263591/1000000  211827/500000
198171/500000  -306551/1000000
-175817/500000  -354603/1000000
-208453/500000  -27311/100000
-34143/100000  363573/1000000
-448389/1000000  -54599/250000
121783137/247412500  -90201417/989650000
-488863/1000000  102291/1000000
-154927/500000  195897/500000
-120219/250000  -131761/1000000
-3491/1000000  49959/100000
-61121/125000  94123/1000000
49297/100000  23237/250000
40347/500000  -492819/1000000
-435773/1000000  60747/250000
-9899/31250  386867/1000000
-1121194807/5519300000  631448667/1379825000
-47571/500000  -490107/1000000
244277/1000000  21883/50000
42203/100000  -270173/1000000
187889/1000000  -11623/25000
211193/1000000  -226827/500000
-229389/500000  -24421/125000
12997/500000  249693/500000
-31089/62500  35969/1000000
-250247/1000000  431437/1000000
1121305193/5519300000  -629351333/1379825000
248169/500000  13461/200000
-325189/1000000  -23617/62500
-56613/1000000  -99287/200000
-29563/100000  -402031/1000000
501511/1000000  -1893/100000
-84661/500000  -469921/1000000
-120769/250000  62471/500000
-12037/25000  131871/1000000
-50043/125000  3739/12500
-32668463/153700000  17419203/38425000
-475521/1000000  14827/100000
-104633/1000000  488549/1000000
477887/1000000  30289/200000
244303/500000  113023/1000000
1737/40000  99493/200000
484229/1000000  -129597/1000000
478387/1000000  14721/100000
54149/500000  -488383/1000000
-88807/250000  -439/1250
1464047729/9772900000  -1163643149/2443225000
408389/1000000  145827/500000
-278619/1000000  207391/500000
120539/250000  -68539/500000
491123/1000000  6079/62500
-393/800  -84881/1000000
414341/1000000  35417/125000
82597/200000  283537/1000000
-442461/1000000  -28599/125000
-14633/31250  169387/1000000
145878327/644900000  -28757551/64490000
61937/1000000  61987/125000
-5351/15625  -72669/200000
500737/1000000  -26709/1000000
452343/1000000  -214723/1000000
-4191/200000  124751/250000
-91267/250000  34069/100000
28263/100000  103393/250000
49503/200000  435127/1000000
-23907/125000  -461319/1000000
-145581673/644900000  28770449/64490000
187549/1000000  -58053/125000
253673/1000000  215953/500000
-156511/1000000  94791/200000
-19887/40000  3443/100000
-222429/500000  -112561/500000
329327/1000000  7549/20000
-20943/62500  -23111/62500
-74419/1000000  -49451/100000
-201729/500000  294237/1000000
-778625269/1759700000  40913597/175970000
-307513/1000000  6147/15625
-498659/1000000  -1781/500000
773/8000  245689/500000
395389/1000000  -309903/1000000
-434781/1000000  123327/500000
246229/500000  -46699/500000
106223/500000  90777/200000
-206853/500000  -279531/1000000
-202919/1000000  114169/250000
-3123973097/6856100000  140868561/685610000
-134193/500000  -209939/500000
4447/25000  -467267/1000000
-78063/200000  310069/1000000
-151553/500000  396651/1000000
54979/500000  487977/1000000
254871/1000000  108011/250000
329667/1000000  18877/50000
111163/250000  230689/1000000
409613/1000000  36029/125000
6006447/14900000  2207427/7450000
489843/1000000  -13649/125000
400433/1000000  -9413/31250
344393/1000000  -181199/500000
-33139/500000  3093/6250
-492521/1000000  77691/1000000
-491157/1000000  89221/1000000
-237691/500000  18921/125000
-4787/31250  -9509/20000
-495007/1000000  62461/1000000
-6005553/14900000  -2200573/7450000
-124293/250000  -1123/31250
52333/500000  122387/250000
-18931/1000000  249769/500000
-248341/500000  -40891/1000000
-448811/1000000  -219029/1000000
-175287/1000000  -93543/200000
2719/6250  249789/1000000
233113/500000  -92657/500000
-490511/1000000  -90611/1000000
3893244023/8134100000  590395843/4067050000
113707/250000  4229/20000
-24633/500000  -248899/500000
-422703/1000000  265451/1000000
325857/1000000  -380707/1000000
-7251/50000  239061/500000
-88223/1000000  -245821/500000
-106389/250000  -260349/1000000
-6839/100000  -494811/1000000
21629/500000  498467/1000000
405467183/906100000  101293403/453050000
102173/500000  228249/500000
278913/1000000  -415551/1000000
77679/1000000  -494347/1000000
249553/500000  50493/1000000
-491809/1000000  42049/500000
-497131/1000000  7421/250000
-58659/500000  486007/1000000
240593/500000  141909/1000000
-376619/1000000  -65503/200000
1318363203/2878100000  583619071/2878100000
48059/500000  491707/1000000
247763/500000  1829/25000
-59609/250000  -87779/200000
-345449/1000000  -360703/1000000
107347/250000  -257653/1000000
-179661/500000  10807/31250
101819/500000  114167/250000
480411/1000000  2793/20000
-157637/500000  -38733/100000
-1314736797/2878100000  -578380929/2878100000
-29671/200000  476457/1000000
-42689/1000000  248501/500000
-317629/1000000  96189/250000
-33831/125000  -26183/62500
22149/250000  -492329/1000000
436711/1000000  -248033/1000000
-31369/125000  431603/1000000
250549/1000000  433681/1000000
24657/125000  -57499/125000
1489578663/3220100000  618930291/3220100000
-95219/250000  64511/200000
-395343/1000000  304857/1000000
76687/200000  -161229/500000
482063/1000000  -3487/25000
125413/250000  -26667/1000000
-17127/200000  -15377/31250
-206683/1000000  -453931/1000000
-497019/1000000  -19629/500000
-161541/1000000  29531/62500
-73307933/250900000  -101459681/250900000
-127547/500000  -85731/200000
-482597/1000000  25193/200000
-84839/250000  365527/1000000
501629/1000000  491/250000
418003/1000000  -138699/500000
-187641/1000000  -462737/1000000
-69197/500000  479181/1000000
4977/25000  459169/1000000
-215507/1000000  -901/2000
-437638277/895450000  -179651007/1790900000
417821/1000000  -69141/250000
444787/1000000  9269/40000
-663/12500  -497059/1000000
36429/125000  203947/500000
2833/31250  492111/1000000
-295033/1000000  -403113/1000000
-86609/500000  -234531/500000
68163/200000  -183151/500000
494939/1000000  7719/100000
439321723/895450000  182408993/1790900000
-495797/1000000  -47507/1000000
-21381/500000  -498869/1000000
-123113/250000  19909/250000
17147/500000  498509/1000000
-495929/1000000  53013/1000000
-1057/4000  -422909/1000000
50279/1000000  -497213/1000000
26839/125000  28221/62500
-496191/1000000  -2847/62500
57606407/194050000  -156115163/388100000
101497/250000  59153/200000
-336333/1000000  184917/500000
-205217/500000  -142383/500000
55993/500000  487323/1000000
-99951/250000  -74523/250000
-301459/1000000  -397207/1000000
117541/500000  -221209/500000
-13499/50000  -421951/1000000
456409/1000000  -210447/1000000
-1312708309/3182650000  1795151281/6365300000
9237/20000  -98331/500000
-210577/500000  -10697/40000
67223/250000  -42257/100000
-77769/250000  -390199/1000000
42921/100000  129591/500000
-68521/1000000  247249/500000
-44363/200000  -27897/62500
-33857/1000000  49939/100000
-203727/500000  287519/1000000
42779761/93003125  -584984541/2976100000
48233/125000  -160429/500000
6877/125000  99399/200000
237229/500000  164549/1000000
-15341/31250  -88391/1000000
-35751/100000  348719/1000000
244821/1000000  27299/62500
-52927/1000000  124207/250000
65283/250000  427159/1000000
-187779/1000000  231771/500000
-42720239/93003125  586115459/2976100000
249423/500000  62937/1000000
-19871/62500  -96167/250000
95531/250000  324289/1000000
108941/250000  -24631/100000
-440579/1000000  3659/15625
247537/500000  -76797/1000000
5779/25000  110817/250000
30677/62500  26111/250000
-248569/500000  4327/125000
8895037/23553125  -247106797/753700000
-499347/1000000  -12473/1000000
112319/500000  -447149/1000000
42597/100000  13241/50000
-178983/500000  -5422/15625
501929/1000000  -17643/1000000
14427/100000  239621/500000
246791/500000  18423/200000
108343/250000  -253019/1000000
2969/62500  497393/1000000
7666873/287103125  -4585504413/9187300000
-471661/1000000  162343/1000000
43859/250000  234461/500000
247653/500000  -79301/1000000
50061/100000  171/1000000
24401/125000  -460061/1000000
-315021/1000000  -48441/125000
-136947/1000000  -240719/500000
474323/1000000  163677/1000000
208513/500000  -55617/200000
27551299/158956250  -1192308979/2543300000
-483023/1000000  15483/125000
-393559/1000000  305157/1000000
44721/100000  -226613/1000000
237497/500000  8051/50000
321/62500  499833/1000000
-271819/1000000  20939/50000
44407/100000  116237/500000
402077/1000000  -149231/500000
246841/1000000  108963/250000
-27398701/158956250  1194191021/2543300000
109747/250000  -242841/1000000
-92501/200000  -18661/100000
-470471/1000000  -32767/200000
-70409/200000  -88297/250000
-98921/1000000  -245289/500000
-98469/200000  17879/250000
-87533/1000000  -122877/250000
-370349/1000000  167403/500000
7813/500000  -249763/500000
199761883/415381250  923009057/6646100000
499711/1000000  41477/1000000
-12963/62500  -7101/15625
-153829/1000000  95067/200000
-253267/1000000  -429739/1000000
20347/62500  -190351/500000
-110767/250000  -22957/100000
420001/1000000  272719/1000000
70899/1000000  247451/500000
52631/125000  -16999/62500
-238389957/619881250  3167119697/9918100000
-434337/1000000  -7647/31250
-448111/1000000  -108671/500000
9713/31250  39329/100000
-457227/1000000  -199823/1000000
138733/500000  208183/500000
12231/25000  54859/500000
403849/1000000  74401/250000
326079/1000000  47653/125000
7816/15625  -26757/1000000
137442671/1944100000  -192143503/388820000
406309/1000000  -292929/1000000
-1629/250000  -100059/200000
-107857/250000  62363/250000
-28609/100000  51107/125000
-235121/500000  -8323/50000
-205089/500000  -28469/100000
76029/200000  -81873/250000
-19857/200000  490361/1000000
33097/200000  472911/1000000
-136237329/1944100000  192804497/388820000
499059/1000000  49531/1000000
-441843/1000000  -2329/10000
-4909/20000  434223/1000000
-238757/1000000  -438333/1000000
-1979/31250  -496459/1000000
-2961/20000  -238661/500000
-49663/500000  -489537/1000000
-495283/1000000  12033/200000
429767/1000000  128633/500000
-42785713/1497700000  -149265391/299540000
31337/62500  -2221/200000
-229051/500000  -24637/125000
96543/200000  -133579/1000000
-242533/500000  11019/100000
-62751/200000  -387151/1000000
100043/200000  -31203/1000000
-84377/500000  234351/500000
113751/500000  -223197/500000
471877/1000000  169629/1000000
-739397777/1523300000  36426961/304660000
122861/250000  25177/250000
-170103/500000  45693/125000
-121421/250000  -55243/500000
-238989/1000000  -438671/1000000
41991/100000  -10979/40000
-480817/1000000  -64361/500000
26687/1000000  -7806/15625
-64121/200000  382129/1000000
11189/25000  -112413/500000
-1586921329/5521700000  451846953/1104340000
12419/25000  -6449/100000
-74499/500000  -476939/1000000
-180747/1000000  232871/500000
-253/625  73227/250000
31/64  130213/1000000
14401/250000  -497397/1000000
373611/1000000  -334151/1000000
-408533/1000000  284737/1000000
-441717/1000000  -37/160
1593878671/5521700000  -450853047/1104340000
57949/250000  -111061/250000
3291/200000  -499601/1000000
249943/500000  -2447/62500
4747/20000  17639/40000
