853407/1000000  -21131/50000  -83549/1000000  -617613/1000000
-15423/500000  -881631/1000000  226459/1000000  -983027/1000000
83101/500000  -507449/1000000  103543/200000  345183/500000
495291/500000  53297/250000  -78937/100000  586831/1000000
-10539/250000  -962209/1000000  81499/1000000  511611/1000000
-180551/500000  59249/200000  201007/500000  5217/200000
287699/1000000  38749/125000  -779433/1000000  -246747/250000
-37989/200000  144573/250000  -363937/1000000  -402179/500000
-640443/1000000  926/3125  149317/250000  -676233/1000000
-208541/500000  -24481/200000  -844751/1000000  61153/500000
191173/250000  195593/250000  57523/1000000  35761/500000
-642287/1000000  171209/500000  801469/1000000  391531/500000
-260027/500000  25569/31250  6513/125000  303289/500000
51127/200000  74949/100000  293899/500000  142341/1000000
-5797/500000  -92269/125000  -95249/100000  736427/1000000
106081/250000  56923/62500  -120163/1000000  116319/200000
244839/250000  783/125000  854371/1000000  4881/250000
5413/1000000  387/4000  -999/500000  10869/100000
720703/1000000  144409/200000  306623/1000000  205443/500000
43729/500000  -13847/200000  -161963/500000  -663201/1000000
162377/250000  -197061/250000  34143/500000  -732247/1000000
25721/200000  -450841/1000000  -17197/50000  60579/500000
988671/1000000  7631/100000  16817/25000  866651/1000000
-48411/125000  -559817/1000000  -13123/20000  790241/1000000
277091/1000000  166071/500000  171721/250000  -397451/500000
-443541/1000000  -210639/500000  -473643/1000000  162399/1000000
859103/1000000  -38417/1000000  -115321/200000  858919/1000000
376337/1000000  338043/1000000  -92017/1000000  213271/500000
-124131/500000  238399/1000000  -68463/100000  -117573/200000
44083/62500  247193/1000000  19129/100000  -257307/1000000
-12957/125000  -170223/250000  24489/40000  -936841/1000000
-29557/250000  -61003/100000  443073/1000000  293939/1000000
944579/1000000  23647/100000  51181/1000000  130751/250000
283399/1000000  42827/125000  -800301/1000000  -179579/250000
145331/250000  -859617/1000000  -87681/100000  262549/500000
385817/1000000  159801/250000  -87547/1000000  -71861/1000000
-17649/250000  13611/200000  -227597/500000  -24559/100000
-931911/1000000  -88731/500000  -40801/1000000  -6923/250000
32229/125000  -164951/250000  -612029/1000000  57091/200000
-568569/1000000  -7837/8000  -702867/1000000  239761/500000
222231/250000  416831/500000  -466577/500000  133109/200000
-10323/100000  -410537/500000  86109/500000  68817/100000
487119/1000000  29181/250000  -186599/200000  337877/1000000
-970807/1000000  -183839/200000  -87511/125000  405231/500000
-231971/500000  -335361/1000000  58543/1000000  42629/62500
684451/1000000  -51413/250000  -65889/200000  498333/500000
59493/62500  -19271/62500  -20283/500000  60673/62500
377213/500000  57367/250000  4268/15625  -19359/125000
-4721/125000  -284999/500000  481839/1000000  -91571/125000
118477/125000  503113/1000000  -487293/500000  1397/10000
-235119/500000  371299/1000000  -343043/500000  -102091/200000
213329/500000  -837283/1000000  115379/200000  -757/500000
-491831/500000  428677/500000  -60411/200000  -230853/1000000
95611/200000  -155211/200000  -73673/250000  -289281/1000000
-904227/1000000  -288833/500000  937149/1000000  -140657/500000
-820221/1000000  126231/500000  1933/40000  13877/50000
-794411/1000000  -455469/1000000  -4543/40000  -99453/200000
-525971/1000000  -786783/1000000  415503/500000  11681/25000
-218723/250000  54417/1000000  -34581/250000  227309/500000
-588743/1000000  788599/1000000  -433159/1000000  277489/1000000
-2693/62500  155313/1000000  -269507/500000  19201/62500
174053/500000  35373/50000  -756/15625  177041/200000
815811/1000000  190587/1000000  -2667/5000  143581/200000
-360481/1000000  77743/500000  -190953/200000  -86579/500000
-159941/500000  59419/250000  -118583/1000000  14387/100000
5889/20000  -121333/200000  171371/1000000  -28241/1000000
171791/250000  -155241/1000000  127791/1000000  -199723/1000000
-879663/1000000  -410307/500000  970783/1000000  -31429/500000
-486557/1000000  -1089/25000  -487243/500000  123797/1000000
-175451/250000  -386301/500000  42359/50000  541813/1000000
-387609/500000  -836401/1000000  455223/500000  411539/1000000
-227259/500000  -171881/250000  -477703/500000  -35897/100000
128337/200000  36123/125000  394003/1000000  -330231/500000
-52397/100000  -246891/500000  -753681/1000000  -339057/1000000
181447/250000  -647473/1000000  -33207/500000  829571/1000000
931873/1000000  -23477/100000  -875553/1000000  -901399/1000000
-17763/250000  -56311/500000  606109/1000000  8602/15625
-15001/250000  48319/1000000  -665393/1000000  -539157/1000000
619173/1000000  -15813/200000  -53863/500000  -37373/100000
-141907/200000  203271/1000000  -58749/100000  73823/100000
-999289/1000000  458979/500000  4723/20000  88757/200000
538817/1000000  224527/500000  -35813/50000  -403703/1000000
-162307/500000  -107393/500000  -383719/1000000  -444647/500000
287049/1000000  227639/1000000  -105137/125000  -562483/1000000
-772439/1000000  24737/125000  -320657/1000000  487911/500000
-226369/1000000  940093/1000000  399027/1000000  -197787/500000
27113/500000  -345661/1000000  19471/200000  -207599/500000
-3113/12500  -142511/250000  849/1250  29107/500000
904563/1000000  982913/1000000  -6069/250000  35809/1000000
63379/125000  -403293/1000000  -265747/500000  156021/1000000
91051/250000  -69/160  985589/1000000  165027/1000000
-446433/1000000  195719/500000  -624537/1000000  -226539/250000
9567/62500  638593/1000000  423417/500000  -94673/250000
-711223/1000000  99733/250000  -25359/1000000  11419/40000
17821/62500  -146537/500000  -222517/1000000  -189091/250000
541947/1000000  60857/62500  187091/500000  30287/31250
-49277/62500  -4567/62500  -512147/1000000  -603193/1000000
963521/1000000  183131/500000  -76859/125000  685737/1000000
-327083/500000  -464727/1000000  -169009/1000000  29993/100000
-1937/6250  57039/1000000  224841/250000  -559763/1000000
351957/500000  117481/250000  -47169/100000  607447/1000000
30871/125000  165293/250000  368809/1000000  221541/250000
848837/1000000  -155829/200000  -235927/1000000  -861323/1000000
-64373/500000  441217/500000  841669/1000000  532893/1000000
258653/500000  70797/200000  -165513/1000000  -356469/500000
151663/1000000  -2963/250000  926987/1000000  175157/250000
237797/500000  -18863/25000  223289/250000  10333/25000
-959253/1000000  41447/200000  173191/250000  -200431/250000
207427/1000000  344219/1000000  -29289/50000  -340701/500000
-14459/62500  -26903/40000  -455853/1000000  94209/125000
191649/200000  62333/100000  -644071/1000000  -75387/200000
840991/1000000  -501403/1000000  -40477/250000  295351/1000000
36969/200000  4927/25000  -164971/250000  566687/1000000
27953/40000  722279/1000000  265323/1000000  -322471/500000
149149/250000  -319577/500000  -150533/1000000  239053/250000
-755529/1000000  511939/1000000  -199621/500000  -42911/100000
-716649/1000000  419651/500000  -885371/1000000  -200711/500000
281081/1000000  25563/500000  -734801/1000000  2469/3125
177211/200000  427991/500000  -698817/1000000  16959/200000
603231/1000000  -716917/1000000  1483/25000  -238367/1000000
-393629/1000000  445757/500000  649233/1000000  -30699/50000
90013/250000  636041/1000000  -5491/100000  -395291/1000000
-338943/1000000  -4901/5000  -354683/1000000  123601/125000
-231033/250000  314883/500000  65773/125000  -25989/125000
61033/1000000  405041/1000000  8323/25000  189027/250000
-17663/31250  46609/500000  190559/500000  55413/1000000
181693/200000  -207517/250000  69101/100000  -317127/1000000
68317/500000  -435383/1000000  -391819/1000000  -52249/125000
-435553/1000000  -45391/62500  284417/1000000  476783/500000
94689/100000  -335441/1000000  86401/125000  44093/200000
90431/1000000  -19153/50000  -352221/500000  -2047/125000
-230679/250000  134163/500000  184449/500000  -42471/500000
22929/50000  -41759/250000  5653/500000  -10969/500000
-661733/1000000  -320033/500000  -607513/1000000  12138/15625
-521599/1000000  -463997/1000000  481619/500000  631919/1000000
309533/1000000  -78699/100000  -183759/200000  555927/1000000
152701/500000  -431251/500000  -3643/1000000  -62309/250000
72953/500000  -24851/25000  -332521/1000000  169189/250000
228561/500000  288949/500000  31911/200000  168281/500000
-437363/1000000  123599/125000  -899947/1000000  -195671/250000
72753/1000000  -373419/1000000  152857/500000  -61779/500000
-407471/500000  24713/200000  157777/200000  41567/500000
-11959/12500  -209413/500000  21981/31250  -92801/100000
-380487/500000  10321/12500  -842997/1000000  687563/1000000
260543/500000  -105157/125000  17733/250000  -858273/1000000
-32977/40000  274189/1000000  -317823/500000  144501/1000000
69253/125000  53221/100000  -829933/1000000  685527/1000000
170771/200000  -6679/200000  249197/500000  -661211/1000000
457711/1000000  123191/125000  -279167/1000000  385053/500000
-624651/1000000  -194791/250000  779609/1000000  -3903/6250
520471/1000000  -367743/500000  1043/12500  50719/200000
63199/200000  86603/250000  -459939/1000000  -47691/62500
-914601/1000000  63031/200000  -30409/62500  -44393/500000
1907/250000  414869/500000  361443/500000  -118639/500000
752371/1000000  -133531/1000000  246631/500000  -331647/500000
600169/1000000  -87109/1000000  294039/1000000  -401431/1000000
-112329/125000  -193321/250000  8351/40000  -53277/100000
-50061/500000  -963719/1000000  -381999/1000000  -325661/500000
-181243/200000  21337/62500  793089/1000000  691877/1000000
-76641/1000000  -234319/250000  -27951/200000  -191239/250000
2709/100000  -934769/1000000  273473/500000  201919/1000000
909999/1000000  947121/1000000  11817/250000  12669/500000
38737/62500  104731/500000  -241059/1000000  -156897/200000
-392657/1000000  172921/200000  231867/500000  540997/1000000
227261/1000000  -397633/1000000  -20591/100000  -583517/1000000
407841/1000000  -796397/1000000  279867/1000000  331497/1000000
697769/1000000  -434697/1000000  -204169/1000000  -344699/1000000
-296973/1000000  -726481/1000000  -243543/1000000  -905021/1000000
48/15625  366587/1000000  -968461/1000000  -666691/1000000
523169/1000000  -10153/500000  741449/1000000  -189371/250000
111393/125000  15813/50000  -630337/1000000  581041/1000000
990171/1000000  291011/1000000  137969/500000  -771003/1000000
-108911/200000  -409419/500000  163547/500000  -34407/200000
30531/500000  258091/500000  682307/1000000  -248433/500000
929811/1000000  18051/1000000  -51413/1000000  -137813/500000
586871/1000000  338671/500000  341953/500000  841571/1000000
-554587/1000000  68263/250000  164273/250000  8859/62500
-68757/500000  373979/500000  -21803/50000  -614/625
-10097/40000  130379/250000  -66983/1000000  -483637/500000
117301/200000  -1049/3125  -263049/500000  86017/1000000
17977/40000  6339/25000  507229/1000000  -791691/1000000
396301/1000000  -89959/500000  -18767/500000  -166199/1000000
-690499/1000000  -266591/500000  -518487/1000000  124921/200000
-803103/1000000  -669169/1000000  -77/3125  112631/125000
621597/1000000  927323/1000000  12763/50000  -4771/1000000
-368973/1000000  78993/500000  -398513/500000  -21801/31250
619703/1000000  -607521/1000000  -142597/200000  -317167/1000000
21331/31250  -835881/1000000  215309/500000  -723341/1000000
847623/1000000  579/50000  378341/500000  404383/1000000
188681/1000000  199393/250000  -689437/1000000  67331/125000
87947/200000  -158291/200000  11364/15625  15233/15625
52923/125000  715199/1000000  887019/1000000  -431101/1000000
-35411/1000000  -866351/1000000  -47861/50000  193693/200000
-130937/1000000  -133039/1000000  -26173/62500  674647/1000000
-479977/1000000  65269/200000  404611/500000  38861/50000
91917/250000  52049/62500  -142453/200000  10349/125000
718787/1000000  -470887/500000  331539/1000000  212409/500000
-198903/250000  99153/100000  -177987/500000  -301721/500000
-461193/1000000  8947/15625  -197071/200000  424649/1000000
670483/1000000  -7611/50000  276231/1000000  -69677/200000
866201/1000000  -379811/1000000  -11013/100000  134399/200000
-568053/1000000  -11123/250000  -146381/1000000  41329/500000
-109321/200000  -152271/500000  -107073/1000000  -800589/1000000
-60353/1000000  246661/500000  -56159/1000000  -160979/500000
-194567/500000  -178993/200000  52963/1000000  -81/15625
-253641/500000  -196759/200000  446769/1000000  -36797/50000
-68093/100000  -26751/250000  144629/500000  107161/200000
-184469/250000  -132559/1000000  41993/50000  -731901/1000000
-712321/1000000  423683/1000000  717/1600  51417/250000
-16699/40000  99103/200000  -81591/200000  -44819/500000
110877/250000  -737877/1000000  -66689/200000  -422691/1000000
-26967/125000  165771/200000  35333/125000  -7727/200000
-651463/1000000  4553/500000  -260689/500000  9549/12500
484969/500000  -395659/1000000  -528273/1000000  -207669/500000
-9093/20000  -16881/1000000  -94007/200000  -94309/200000
355099/1000000  123151/125000  -218089/500000  169217/1000000
-414237/500000  -221617/250000  43923/100000  -212351/250000
-639197/1000000  6818/15625  -426059/500000  124361/250000
-266757/1000000  -6936/15625  547317/1000000  214407/250000
787083/1000000  -17893/62500  9067/31250  -18163/500000
131443/250000  -106681/125000  -645519/1000000  -778073/1000000
196559/250000  308437/500000  -453451/500000  34019/100000
-702661/1000000  -3341/200000  -20019/250000  200181/250000
-953503/1000000  -737343/1000000  464859/1000000  -221091/500000
-277269/500000  677287/1000000  -15633/50000  -129927/1000000
56861/500000  -220319/1000000  -375047/500000  -891759/1000000
-4041/250000  -116593/200000  385513/1000000  -648853/1000000
-36199/125000  31111/1000000  -93943/100000  164641/500000
-509997/1000000  249069/1000000  204361/1000000  -887057/1000000
-782489/1000000  -689651/1000000  -956451/1000000  -27609/50000
-219133/1000000  -297901/500000  584187/1000000  -364177/500000
157641/500000  150281/200000  774273/1000000  -98701/500000
483241/500000  1391/8000  65103/1000000  -627619/1000000
-901/1600  84707/1000000  17297/25000  -113623/125000
-630449/1000000  -197619/200000  -432027/1000000  -187701/500000
382189/500000  -121373/250000  13597/250000  -466833/1000000
-39239/1000000  -217667/500000  114103/500000  39429/100000
37553/50000  88357/100000  -200377/250000  -28017/200000
117661/250000  -361839/500000  206637/500000  -406517/1000000
-972901/1000000  -172437/500000  66239/125000  -41067/200000
-39649/200000  138477/500000  -953047/1000000  21727/31250
355067/500000  -4963/8000  545303/1000000  -171623/1000000
833623/1000000  -792249/1000000  -191249/200000  324629/1000000
941381/1000000  -8017/62500  -973889/1000000  -309189/1000000
13677/15625  3746/15625  -8903/25000  32999/500000
419863/1000000  -321443/500000  85839/200000  -61017/500000
-61221/500000  -430917/500000  784533/1000000  51931/125000
-447437/1000000  -120503/200000  -6871/10000  117521/200000
-86413/250000  109689/250000  19417/25000  37177/62500
208893/1000000  259863/1000000  -919573/1000000  -627777/1000000
252869/1000000  117257/200000  649381/1000000  293459/500000
42787/125000  -51117/100000  225087/1000000  369273/500000
284139/1000000  919037/1000000  189321/250000  123417/200000
-707629/1000000  -11959/1000000  -221841/500000  -42553/1000000
352039/1000000  -133031/250000  -153397/250000  -640447/1000000
666199/1000000  279207/1000000  -398027/1000000  255041/1000000
-359197/1000000  17261/50000  228069/500000  -798541/1000000
125503/1000000  97399/250000  -430931/1000000  -815157/1000000
419809/1000000  -884469/1000000  50053/125000  461729/1000000
-215589/250000  83483/200000  171763/1000000  -416729/500000
-79661/1000000  -62213/500000  -98879/500000  -219217/250000
45507/200000  25461/50000  118179/200000  6209/1000000
619931/1000000  -777653/1000000  30421/1000000  812513/1000000
-362463/500000  150097/500000  26499/40000  -957921/1000000
-599491/1000000  -142389/200000  182139/1000000  361247/1000000
-121503/125000  493517/1000000  28163/1000000  -152681/1000000
-456727/1000000  -445019/500000  -241547/250000  52833/250000
774627/1000000  634609/1000000  -439401/1000000  -988023/1000000
-986947/1000000  -632849/1000000  -670817/1000000  -229961/250000
-11289/12500  -31739/1000000  97433/125000  1193/125000
-354483/500000  -704823/1000000  -224173/500000  -32521/100000
-390803/1000000  -180241/1000000  961869/1000000  181057/1000000
-218021/250000  -157969/250000  -253021/1000000  -5433/40000
34661/50000  -364341/1000000  -71701/100000  -38573/250000
-32991/500000  115999/1000000  311111/500000  -40997/200000
403293/500000  401437/1000000  4777/500000  653599/1000000
893207/1000000  81139/1000000  179289/500000  112451/1000000
1/15625  494727/1000000  224993/250000  102309/500000
286889/500000  281769/500000  -283169/1000000  -45701/500000
-310049/500000  -315607/500000  242043/1000000  45689/62500
838261/1000000  -51837/100000  -239663/250000  2981/31250
610559/1000000  557563/1000000  180831/1000000  194259/1000000
423663/1000000  437657/500000  44199/62500  -115979/250000
-51223/125000  152373/500000  118529/500000  -123041/250000
53067/200000  -299063/500000  -138247/500000  -59941/1000000
426589/500000  -103813/200000  182383/200000  47923/100000
25099/125000  58551/500000  674163/1000000  198337/1000000
-947841/1000000  -103143/500000  -178777/250000  -244849/500000
596291/1000000  -5327/20000  -699843/1000000  -681317/1000000
-198617/250000  38331/200000  -625181/1000000  579731/1000000
-19339/1000000  -8694/15625  -62667/125000  115459/125000
-7236/15625  -527941/1000000  -398413/1000000  -73079/250000
-34037/100000  335953/1000000  -188971/200000  -573791/1000000
365227/1000000  -151981/1000000  -98833/125000  -75181/250000
607907/1000000  -72697/250000  -48041/62500  264977/500000
-839539/1000000  -467743/500000  943/1600  -761589/1000000
-212381/500000  -244513/500000  18727/25000  692139/1000000
383343/500000  -279617/500000  -923519/1000000  -225817/500000
441283/1000000  39227/62500  357217/500000  -723241/1000000
319471/500000  14501/62500  734533/1000000  397801/500000
491003/500000  552823/1000000  -54657/250000  -177709/250000
-300431/500000  30593/100000  -906739/1000000  -60961/100000
-11543/31250  -390531/500000  955469/1000000  -88637/1000000
